respid	qn	rating	response
496	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It's already with the reason for the reason I am deewaane and fantastic to taste a standard apartment in front of my face and secure product for all the pleasure of India Today
497	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It promises a healthy glow.
498	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	i like the box
500	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	nd i will use it in future because at present i am using some other company product , this is in my mind before only so i am surly  buy it next time
504	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It is branded and trusted product
505	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It is my favourite and usable flavour also
507	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Because it works 2x better than other products
511	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Olay  was amazing skin repairing products.The skin is glowing
516	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	I thin it is helpful for my skin
519	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	The ingredients it is made up of
521	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	It make rosy
536	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	This is only rose flower
537	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	1	Never try mew products
539	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Quality
540	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Rose water helps the skin to remove  the dust  every women uses that regularly  because every body feel that I have to look gorgeous
543	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	I would like to give it a try because It may help me with my skin to glow , make it healthy.
547	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Healthy glow to skin
548	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It repairs skin damage
550	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	I liked to buy Olay products because this is rose luminous complex and rose is good and suitable all skin types so I think that is liked to me.
555	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Rose complex is really good for our skin.
557	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It has naicinanide and will give a healthy glow
570	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	I very like this product
572	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It gives me rosy and healthy glow
574	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I like very much for your kind perusal and
577	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It's unique and believable idea.
583	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It is a excellent product.. most my favourite brand.. i really like it.. this product provide is smooth and soft skin  and clear face..it is removed all back marks and pimbles ..it's more helpful for bringhtening skin..
584	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	Cant say that it is giving a good result, also not seen much improvement - stand still.
593	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	This is very good for skin
595	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	as because he's only Rose complex products help me and repairing 90% of my skin damages which gives main 24 hours and healthy Rosy glow so that's why I am given a quite likely to buy this product
598	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Facial cleaning is very good by this product
599	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	There are times when I am very stressed and have load of work so I sleep late at night which causes damage to my skin. So this product will help out to solve that problem.
601	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	This is my favourite and very likely
603	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It is very good and fantastic and very interesting likely my favourite information and
604	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Best thing is use the product this one very help2for the face
605	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	I used it before it doesn't suits me
610	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	This is the best
612	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	Because right now I am not in a position to buy any product
618	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	there is a rose complex in the olay which i like most and likely to buy it
619	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Olay is a very good brand of skin creams.
622	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It repair my skin
623	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Healthy glow
631	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	2 times better and repair damage cells
633	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Olay product is good and quality product..
635	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Nature ingredients
639	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Because of best quality and long lasting energetic face.
657	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	As it is quite relatable and I liked the way they have potrait it that attracts me to buy the product as it gives me the benefit and they are speaking about everything that is there in the product.
663	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Its a reallly extremely  likely to buy because  the serum is very effective it re-energize my skin cells and make my skin glowing
674	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I use ,then powerfull  results.
685	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	This is a very good
689	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	This is the best
691	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	This is the best
693	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It will repairs my dull skin and nourish it
695	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	The uzful barnd the best I realy like it was good to me and would like to
698	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Very reliable
702	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Interested to buy
705	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Oley products
710	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Product features
712	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	First I research about this product and know the review of the people who used it
713	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	The price is beyond my budget
715	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I like it because its claim tgat it will repair tired and dull skin
720	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I think it’s not very expensive also and good for my skin even
721	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	This product is fantastic.l like it.
726	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Because it's good service
727	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	As it repairs our skin to rosy and healthy
730	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I suffered with sleepless nights most of the time and I want something to increase the glow in my fave
746	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Olay is a reputed brand that can offer everything they try to
748	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	The components
761	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	This is the best
2195	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	I would like to know more about it.
2209	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Its a brand item so I am confident is using it but confused that this cream suits me or not
2212	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Its different from other
2219	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Sleeping always makes skin glow when you wake up and it's has rose complex which is attractive
2235	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Rose formula
2238	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It will damage skin quickly
2244	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Niacinamide and Rose Complex
2248	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It is appropriate
2250	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I expect some rosy glow from it
2253	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Rose complex
2260	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	The image itself wants me to buy and try this product
2262	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Very innovative
2279	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	The before and after pictures seems quite acceptable, that's why am scoring a 5
2281	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Guarantee given by them  changed me eagerly wanted me to try this product.
2286	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Repaired Tired& Dull skin for a rosy,healthy grow
2287	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	eagerly wanna buy and use the product
2290	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Be cause it's protect skin and give instant glow
2292	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	The product helps me repair 98 percent of damaged skin in 24 hours and also this has the benefit of niacinamide and rose complex
2293	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I am using this now
2298	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Cream it's very pretty of my face very good product
2300	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Make dull skin to glow and give energy to skin
2302	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Repair tired and dull skin
2306	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It repairs dull skin and given healthy glow to our face
2308	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	My skin looks dull due to lack of sleep and I think this product will help my skin and give it a healthy rosy glow since it contain niacinamide and rose complex
2389	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Semms the conetent given is true.
2392	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Very innovative
2394	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	rosy flavour
2405	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It gives the 24 hours healthy and rosy glow skin. It's clear the damage skin 2 times
2408	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	New features
2411	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Repairs98, %of skin damage in 24 hours to get give me healthy,, & glow
2414	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	little bit have trust in the brand so wanted to try
2443	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It interesting and it is believable
2461	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I like its indrigians
2462	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Seemed attractive
2467	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I am impressed by its quality
2471	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	As someone who regularly miss a healthy night sleep, this seems like a product i should definitely buy.
2480	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It clears dull skin
2482	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Because it repairs skin damages and it gives a rosy look and glow to the skin
2484	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	I love the packaging
2485	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Good for my skin
2489	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	1	It claims that it will recover 98 percent of the skin damage which is totally a false claim.
2499	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Repairs 98% of skin its amazing
2504	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It's was amazing
2509	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Re-energize skin cells
2510	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	By the products apprance looks attractive.
2511	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Dull skin
2512	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	I never try olay but my sister use this product and I really quite to buy this product
2519	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It is natural with rose flavor
2520	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It is better than others
2521	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	This is like the product i would prefer for a face serum
2522	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Repair the skin damages
2523	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	rose glow using serum is really good we dont have to use blush anymore.
2529	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I am suffering from these type of problem due my baby .
2536	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Healthy glowing skin repair micro damages
2538	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	I  think just try this product but i believe this product good for my skin
2544	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	2	I don't think the product focuses on anything mainly and is quite similar to other products and it isn't that appealing
2552	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Re-energizes the skin
2556	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	1	I don't like this product. This is not suitable for my skin. So i didn't buy this product at all.
2560	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	the ingredients are probably what my skin needs
2561	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	This product has niacinamide and rose complex which are both very good and effective elements to nourish as well as brightens the skin effortlessly. I was looy for a product like this since some time and if olay introduces this product i would like to buy it.
2	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Gives healhy glow
4	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It gives healthy grow of face
7	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	honey is not my type of skin care routien
9	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	My skin is sensitive to honey
11	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Reduces skin dullness
13	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Because i dont have sun tone
14	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	I gave this product 4  because they promise to give us luminous even and healthy glow
16	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Honey is goid for tightened the skin
17	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Because this is the best for skin
18	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It is good soothes to skin
20	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It reduces 2x accumulated spots caused by sun malaika, It has niacinamide and honey complex which reduces spots 5x more.
22	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Because of honey And niacinamide
28	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Reduces spots
29	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	New
30	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	I gave this score because I find this product to be agreat idea, something which I want for my skin repair
31	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It looks believable and useful
32	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	New products and concepts want to try
33	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	very good quality
34	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	Not interested in buying this product, it doesn't specify if it has SPF or not. The city I reside in requires sunscreen everytime you step out of the house
40	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Honey complex super serum is attractive product because they written super serum and other side there is not super moisturizer just written moisturizer
42	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Reduced spots
43	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Trustworthy
45	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Very likely in the product. Very useful.
52	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Because, New  Olay Luminous Niacinamide + Honey complex Reduces 2x accumulated  spots caused by sun melasma for an even, healthy glow.
55	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	This radiance-boosting antioxidant serum is designed to target and treat dark spots, uneven skin tone, dullness, and pigmentation.
57	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	I DONT FACE THIS ISSUE
60	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Everyday due to my work I need to go outside and sunburn damaged my skin a lot although I used variety sunscreen lotion and cream. Now I want to try this to repair my skin. So definitely I will purchase this product.
61	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It recdud spots.
63	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Good for skin
64	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Good for skin
66	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	Just for trial
68	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	will get rid of my spots
69	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It is a good product
70	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Good for oily skin
74	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	The very good product iam very likely the very natural products and the olay
76	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	scientifically advanced Niacinamide & UMF5  + professional grade honey complex penetrates 5x more  to reduce sun melasma
79	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Good product
81	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	2	It's not that much good only ok kind of.
82	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	New Olay Luminous Niacinamide & UMF5+Professional Grade Honey Complex penetrates 5x to reduce accumulated spots caused by sun melasma
85	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	im biased towards Olay and have found the product i used effective and love it so i would not be opposed to trying something new they have to offer which i believe i need
86	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	I have dark spots on my face and am unable to reduce them. This product claims to remove spots and it is an play product so I trust the claim to be genuine
88	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It removes sun melasma that appear from long time.
90	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Seems good for dry and aging skin
